Admin,Year,Individual/Company,Industry,Nationality,US/0-US,Penalty,Sanctions Regime,Tag,Voluntary Disclosure?,Egregious Case?,# of violations,Violation Date(s),Announcement Date,Countries Involved,SDN Individual or Entity?,Subsidiary?,Successor Liability,Item(s) Exported/ Other Violations,Value of Items/ Transactions,Items Eligble for License?
Trump,2019,"e.l.f. Cosmetics, Inc",Cosmetics,U.S.,U.S.,"$996,080"," North Korea Sanctions Regulations, 31 C.F.R. part 510 (NKSR)",NKSR,YES,NO,156,"April 1, 2012 to on or about January 28, 2017",1/31/2019,"China, North Korea",,NO,NO,false eyelash kits,4427019.26,-
Trump,2018,"Zoltek Companies, Inc.",Financial,U.S.,U.S.,"$7,772,102","Belarus Sanctions Regulations, 31 C.F.R. part 548 (BSR).",BSR,YES,YES,26,"January 18, 2012 to October 27, 2015",12/20/2018,"Hungary, Belarus",J.S.C. Naftan,YES,NO,acrylonitrile (“ACN”),-,-
Trump,2018,"Yantai Jereh Oilfield Services Group Co., Ltd. ",Petrochemical,China,Foreign,"$2,774,972","Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560 (ITSR)",ITSR,NO,YES,11," October 2, 2014 to on or about March 4, 2016",12/12/2018,"Iran, China, UAE",,YES,NO,US origin goods (BIS?),"$500,000+",-
Trump,2018,"Cobham Holdings, Inc.",ICT,U.S.,U.S.,"$87,507","Ukraine Related Sanctions Regulations, 31 C.F.R. part 589 (the URSR)",URSR,YES,NO,3,"July 31, 2014 to January 15, 2015",11/27/2018,"Russia, Canada",Almaz Antey Telecommunications LLC,YES,NO,"3,400 LM 102202-Q-C-301 switch limiters, 6,900 MSW 2061-206 switches, and 20 silicon diode switch limiter samples",2246374,-
Trump,2018,Société Générale S.A. ,Financial,France,Foreign,"$53,966,916"," Cuban Assets Control Regulations, 31 C.F.R. Part 515 (CACR); the Iranian Transactions and Sanctions Regulations, 31 C.F.R. Part 560 (ITSR); and the Sudanese Sanctions Regulations, 31 C.F.R. Part 538 (SSR)","CACR, ITSR, SSR",NO,YES,"1,077", at least five years up to and including 2012,11/19/2018,,,NO,NO,Financial transactions,5560452994,-
Trump,2018,"JPMorgan Chase Bank, N.A.",Financial,U.S.,U.S.,"$5,263,171"," the Cuban Assets Control Regulations, 31 C.F.R. Part 515 (CACR); the Iranian Transactions and Sanctions Regulations, 31 C.F.R. Part 560 (ITSR); and the Weapons of Mass Destruction Proliferators Sanctions Regulations, 31 C.F.R. Part 544 (WMDPSR)","CACR, ITSR, WMDPSR",YES,NO,87," January 3, 2008
to February 8, 2012",10/5/2018,,YES,NO,NO,net settlement payments,1500000,-
Trump,2018,"Epsilon Electronics, Inc.",ICT,U.S.,U.S.,"$1,500,000","Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560 (the “ITSR”)",ITSR,NO,YES,39,"August 26, 2008 to May 22, 2012",9/13/2018,Iran,,NO,NO,export of goods,2823000,-
Trump,2018,"Ericsson, Inc. and Ericsson AB",ICT,Sweden,Foreign,"$145,893"," International Emergency Economic Powers Act (IEEPA) and the Sudanese Sanctions Regulations, 31 C.F.R. part 538 (SSR)","IEEPA, SSR",YES,YES,1,41001,6/6/2018,"Botswana, Lebanon, Switzerland, Sweden",,YES,NO,satellite equipment,,
Trump,2017,DENTSPLY SIRONA Inc,Medical Devices,U.S.,U.S.,"$1,220,400","§ 560.204 of the Iranian Transactions and Sanctions Regulations, 31 C.F.R. Part 560 (ITSR)",ITSR,NO,NO,37,"November 26, 2009 to July 5, 2012",12/6/2017,"Iran, third-country distributors",-,YES,YES,Dental equipment and supplies,-,YES
Trump,2017,BCC Corporate SA,Financial,Belgium,Foreign,"$204,277","Cuban Assets Control Regulations, 31 C.F.R. part 515 (CACR)",CACR,YES,NO,"1,818","Between April 9, 2009 and February 3, 2014",11/17/2017,"Cuba, Belgium",-,YES,NO,Financial Transactions,583649.43,NO(?)
Trump,2017,BD White Birch Investment LLC,Paper,U.S.,U.S.,"$372,465","Sudanese Sanctions Regulations, 31 C.F.R. part 538 (SSR)",SSR,NO,NO,3,April and December 2013,10/5/2017,"Canada, Sudan",-,YES,NO,Paper,354602.26,YES
Trump,2017,"Richemont North America, Inc., d.b.a. Cartier",Luxury Goods,U.S.,U.S.,"$334,800","Foreign Narcotics
Kingpin Sanctions Regulations, 31 C.F.R. part 598 (FNKSR)",FNKSR,NO,NO,4,"October 5, 2010 and April 21, 2011",9/26/2017,Hong Kong,Shuen Wai Holding Limited ,YES,NO,Jewelry,-,NO
Trump,2017,COSL Singapore Ltd,Petrochemical,Singapore,Foreign,"$415,350","Iranian Transactions and Sanctions Regulations, 31 C.F.R. Part 560 (ITSR)",ITSR,NO,NO,55,"Between  October 7, 2011 and February 20, 2013",8/24/2017,"Singapore, UAE, Iran",-,YES,NO,Oil rig supplies,524664,NO
Trump,2017,"Blue Sky Blue Sea, Inc., doing business as
American Export Lines and International Shipping Company",Shipping,U.S.,U.S.,"$518,063","Iranian Transactions and Sanctions Regulations, 31 C.F.R. Part 560 (ITSR)",ITSR,NO,NO,140,"Between April 25, 2010 and June 2, 2012",8/17/2017,"Iran, Afghanistan",-,YES,NO,Junked cars and parts,-,NO
Trump,2017,"IPSA International Services, Inc. ",Financial,U.S.,U.S.,"$259,200","Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560 (ITSR)",ITSR,NO,NO,72,March and October 2012,8/10/2017,"Iran, Canada, UAE",-,YES,NO,Financial Transactions,-,NO
Trump,2017,CSE TransTel Pte. Ltd. and CSE Global Limited,ICT,Singapore,Foreign,"$12,027,066"," International Emergency Economic Powers Act (IEEPA) and the Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560 (ITSR)","IEEPA, SSR",NO,YES,104,"Between August 25, 2010 and November 5, 2011, between June 4, 2012 and March 27, 2013",7/27/2017,Iran,-,YES,NO,Financial Transactions,11111000,NO
Trump,2017,ExxonMobil Corp,Petrochemical,U.S.,U.S.,"$2,000,000","Ukraine-Related Sanctions
Regulations, 31 C.F.R. part 589 (Ukraine-Related Sanctions Regulations)",URSR,NO,YES,8,"Between May 14, 2014 and May 23, 2014",7/20/2017,"Russia, Ukraine",Igor Sechin,YES,NO,Signed legal documents relating to oil and gas projects,-,NO
Trump,2017,"American International Group, Inc. (AIG)",Financial,U.S.,U.S.,"$148,698","Iranian Transactions and Sanctions Regulations, 31 C.F.R. Part 560 (ITSR); the Weapons of Mass Destruction Proliferators Sanctions Regulations, 31 C.F.R. Part 544 (WMDPSR); the Sudanese Sanctions Regulations, 31 C.F.R. Part 538 (SSR); and the Cuban Assets Control Regulations, 31 C.F.R. Part 515 (CACR),","ITSR, SSR, WMDPSR, SSR, CACR",YES,NO,555,"Between November 20, 2007 and September 3, 2012",6/26/2017,"Iran, Sudan, Cuba","""blocked persons""",NO,NO,"Transactions  in premiums and claims for the insurance of maritime shipments of various goods and materials destined for, or that transited through Iran, Sudan, or Cuba, and/or that involved a blocked person. ",396530,NO
Trump,2017,American Honda Finance Corporation,Financial,U.S.,U.S.,"$87,255","Cuban Assets Control Regulations, 31 C.F.R. part 515 (CACR)",CACR,YES,NO,13,Between February 2011 and March 2014,6/8/2017,"Canada, Cuba",-,YES,NO,Lease agreements,276999,NO
Trump,2017,Zhongxing Telecommunications Equipment Corporation (ZTE),ICT,China,Foreign,"$100,871,266","Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560 (ITSR)",ITSR,NO,YES,251,From January 2010 to on or about March 2016,3/7/2017,"China, Iran",-,YES,NO,Export and reexport of controlled US origin goods to Iran,39622972,NO
Trump,2017,United Medical Instruments Inc.,Medical Devices,U.S.,U.S.,"$515,400","Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560 (ITSR)",ITSR,YES,NO,56,"From on or about December 5, 2007 to on or about April 30, 2009",2/28/2017,"Iran, UAE",-,NO,NO,medical imaging equipment,2493597,YES
Trump,2017,Toronto-Dominion Bank,Financial,Canada,Foreign,"$516,105"," § 515.201 of the Cuban Assets Control Regulations, 31 C.F.R. part 515 (CACR), and § 560.204 of the Iranian Transactions Sanctions Regulations, 31 C.F.R. part 560 (ITSR)","CACR, ITSR",YES,NO,167,"From 2003 or 2004, to 2011",1/13/2017,"Iran, Cuba, Canada",YES,YES,NO,Financial Transactions,2130594,YES
Trump,2017,"Toronto-Dominion Bank, Internaxx Bank SA, and  TD Waterhouse Investment Services (Europe) Limited ",Financial,Canada,Foreign,$0,"§ 515.201 of the Cuban Assets Control Regulations, 31 C.F.R. part 515 (CACR), and § 560.204 of the Iranian Transactions
Sanctions Regulations, 31 C.F.R. part 560 (ITSR)","CACR, ITSR",YES,NO,"3,658"," between August 7, 2007 and November 18, 2013",,"Iran, Cuba, Canada, Luxembourg",,NO,NO,,92868862,NO
Trump,2017,"An individual, and  the Alliance for Responsible Cuba Policy Foundation",Nonprofit,U.S.,U.S.,"$10,000"," Cuban Assets Control Regulations, 31 C.F.R. Part 515 (CACR)",CACR,NO,NO,20," from on or about August 23, 2010 to on or about August 27, 2010, and September 8, 2011 to on or about September 11, 2011",1/12/2017,Cuba,-,NO,NO,Facilitating travel,-,NO
Trump,2017,"An individual, and  the Alliance for Responsible Cuba Policy Foundation",Nonprofit,U.S.,U.S.,"$10,000"," Cuban Assets Control Regulations, 31 C.F.R. Part 515 (CACR)",CACR,NO,NO,20," from on or about August 23, 2010 to on or about August 27, 2010, and September 8, 2011 to on or about September 11, 2011",1/12/2017,Cuba,-,NO,NO,Facilitating travel,-,NO
Trump,2017,"An individual, and  the Alliance for Responsible Cuba Policy Foundation",Nonprofit,U.S.,U.S.,"$10,000"," Cuban Assets Control Regulations, 31 C.F.R. Part 515 (CACR)",CACR,NO,NO,20," from on or about August 23, 2010 to on or about August 27, 2010, and September 8, 2011 to on or about September 11, 2011",1/12/2017,Cuba,-,NO,NO,Facilitating travel,-,NO
Trump,2017,"An individual, and  the Alliance for Responsible Cuba Policy Foundation",Nonprofit,U.S.,U.S.,"$10,000"," Cuban Assets Control Regulations, 31 C.F.R. Part 515 (CACR)",CACR,NO,NO,20," from on or about August 23, 2010 to on or about August 27, 2010, and September 8, 2011 to on or about September 11, 2011",1/12/2017,Cuba,-,NO,NO,Facilitating travel,-,NO
Trump,2017,Aban Offshore Limited,Petrochemical,India,Foreign,"$17,500","Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560 (ITSR)",ITSR,NO,NO,1,39626,1/12/2017,"India, Singapore, UAE, Iran",-,YES,NO,Oil rig supplies,10127,NO
Obama,2016," National Oilwell Varco, Inc.,  Dreco Energy Services, Ltd., NOV Elmar ",Petrochemical,U.S.,U.S.,"$5,976,028","Cuban Assets Control Regulations, 31 C.F.R. part 515 (CACR), the Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560 (ITSR), and the Sudanese Sanctions Regulations, 31 C.F.R. part 538 (SSR)","CACR, ITSR, SSR",NO,YES,61,From 2002 to 2009,11/14/2016,"Iran, Cuba, Sudan, UK",-,YES,NO,"Payments, other financial transactions",15955471,NO
Obama,2016,PanAmerican Seed Company,Agricultural,U.S.,U.S.,"$4,320,000","Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560 (ITSR)",ITSR,NO,YES,48,"From on or about May 5, 2009 to on or about March 2, 2012",9/13/2016,Iran,-,YES,NO,Seeds,-,YES
Obama,2016,"World Class Technology
Corporation",ICT,U.S.,U.S.,"$43,200","Iranian Transactions and Sanctions Regulations (ITSR), 31 C.F.R. part 560",ITSR ,NO,NO,7,between April 2008 and July 2010,9/7/2016,"Iran, Germany, UAE, Lebanon",-,NO,NO,orthodontic devices,59886,YES
Obama,2016,"Alcon Laboratories, Inc., Alcon Pharmaceuticals Ltd., and Alcon Management, SA",Pharmaceutical,"U.S., Switzerland",Foreign,"$7,617,150","Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560 (ITSR) and the Sudanese Sanctions Regulations, 31 C.F.R. part 538 (SSR)","ITSR, SSR",NO,NO,513,August 2008 to December 2011,7/5/2016,"Switzerland, Iran, Sudan",-,YES,NO,medical end-use surgical and pharmaceutical products,-,YES
Obama,2016,"HyperBranch Medical
Technology, Inc.",Medical Devices,U.S.,U.S.,"$107,691","Iranian Transactions and Sanctions
Regulations, 31 C.F.R. part 560 (ITSR)",ITSR,YES,NO,2,"April 15, 2011 and  May 27, 2011",6/23/2016,"Iran, UAE",-,NO,NO,medical goods (adherus sealants),-,YES
Obama,2016,"Halliburton Atlantic Limited, Halliburton Overseas Limited",Petrochemical,Cayman Islands,Foreign,"$304,706"," Cuban Assets Control
Regulations, 31 C.F.R. part 515 (the “CACR”)",CACR,YES,NO,,"From on or about February 15, 2011, to on or about April 6, 2011",2/25/2016,"Cuba, Angola",-,YES,NO,Property and invoices,1189752,NO
Obama,2016,"CGG Services S.A, CGG Services, Veritas Geoservices Ltd. S.A. ",Petrochemical,France,Foreign,"$614,250","Cuban Assets Control Regulations, 31 C.F.R. part 515 ",CACR,NO,NO,22," December 14, 2010 and March 10, 2011, and from February 28, 2011 to July 20, 2011, and from February 1, 2011 to February 3, 2011, and  September 20, 2010 to February 22, 2011,",2/22/2016,"Cuba, Venezuela",-,YES,NO,"services, spare parts, and equipment for oil and gas exploration and seismic surveys",2758701,NO
Obama,2016,Barclays Bank Plc,Financial,United Kingdom,Foreign,"$2,485,890","§ 541.201 of the Zimbabwe Sanctions Regulations, 31 C.F.R. part 541 (ZSR)",ZSR,NO,NO,159,July 2008 to September 2013,2/8/2016,"UK, Zimbabwe",Industrial Development Corporation of Zimbabwe,YES,NO,Financial transactions,3375617,NO
Obama,2016,"WATG Holdings, Inc., Wimberly Allison Tong and Goo (UK) Limited",Construcion,"U.S., UK",Foreign,"$140,400","Cuban Assets Control Regulations, 31 C.F.R. part 515",CACR,NO,NO,multiple,"October 13, 2009 to May 20, 2010",1/20/2016,"Cuba, Qatar, UK",-,YES,NO,Property and contracts,641229,NO
Obama,2015,"Barracuda Networks, Inc.",ICT,U.S.,U.S.,"$38,930","Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560; the Sudanese Sanctions Regulations, 31 C.F.R. part 538, and the Syrian Sanctions Regulations, 31 C.F.R. part 542","ITSR, SSR, SySR",YES,NO,-,August 2009 to May 2012,11/24/2015,"UK, Sudan, Iran, Syria",YES,YES,NO,"goods, technology, and services",123586,NO
Obama,2015,"Banco do Brasil, S.A.",Financial,U.S.,U.S.,"$139,500","§ 560.204 of the Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560 (ITSR)",ITSR,NO,NO,7,October 2011 to June 2012,11/4/2015,"Brazil, Iran",NO,NO,NO,Financial transaction,192322,NO
Obama,2015,"Gil Tours Travel, Inc",Travel,U.S.,U.S.,"$43,875","Cuban Assets Control Regulations, 31 C.F.R. part 515 (CACR)",CACR,NO,NO,-,"October 21, 2009 to August 19, 2010",10/27/2015,Cuba,NO,NO,NO,dealings in property,-,NO
Obama,2015,"Gil Tours Travel, Inc",Travel,U.S.,U.S.,"$43,875","Cuban Assets Control Regulations, 31 C.F.R. part 515 (CACR)",CACR,NO,NO,-,"October 21, 2009 to August 19, 2010",10/27/2015,Cuba,NO,NO,NO,dealings in property,-,NO
Obama,2015,"Gil Tours Travel, Inc",Travel,U.S.,U.S.,"$43,875","Cuban Assets Control Regulations, 31 C.F.R. part 515 (CACR)",CACR,NO,NO,-,"October 21, 2009 to August 19, 2010",10/27/2015,Cuba,NO,NO,NO,dealings in property,-,NO
Obama,2015,"Gil Tours Travel, Inc",Travel,U.S.,U.S.,"$43,875","Cuban Assets Control Regulations, 31 C.F.R. part 515 (CACR)",CACR,NO,NO,-,"October 21, 2009 to August 19, 2010",10/27/2015,Cuba,NO,NO,NO,dealings in property,-,NO
Obama,2015,Crédit Agricole Corporate and Investment Bank,Financial,France,Foreign,"$329,593,585"," Sudanese Sanctions Regulations, 31 C.F.R. part 538 (SSR), but also the Cuban Assets Control Regulations, 31 C.F.R. part 515 (CACR), the Burmese Sanctions Regulations, 31 C.F.R. part 537 (BSR), and the Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560 (ITSR)","SSR, CACR, SSR, ITSR, Burma",NO,YES,"4,297",2003-2008,10/20/2015,"Switzerland, France, Sudan, Cuba, Burma, Iran",NO,YES,YES,Financial transaction,441873894,NO
Obama,2015,UBS AG (bank),Financial,Switzerland,Foreign,"$1,700,100","§ 594.201 of the Global Terrorism Sanctions Regulations, 31 C.F.R. part 594 (GTSR)",GTSR,NO,NO,222,January 2008 to January 2013,8/27/2015,Switzerland ,NO,NO,NO,Financial transaction,2466195,NO
Obama,2015,Navigators Insurance Company,Insurance,U.S.,U.S.,"$271,815"," Foreign Assets Control Regulations, 31 C.F.R. part 500 (the FACR); Executive Order 13466 of June 26, 2008, “Continuing Certain Restrictions With Respect to North Korea and North Korean Nationals” (“E.O. 13466”); the North Korea Sanctions Regulations, 31 C.F.R. part 510 (the NKSR); the Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560 (the ITSR); the Sudanese Sanctions Regulations, 31 C.F.R. part 538 (the SSR); and the Cuban Assets Control Regulations, 31 C.F.R. part 515 (the CACR)","FACR, EO13466, NKSR, ITSR, SSR, CACR",YES,NO,48,"May 8, 2008 to April 1, 2011",8/6/2015,"Iran, North Korea, Sudan, Cuba",NO,NO,NO,"Insuring vessels, insurance claim payments",1510083,NO
Obama,2015,"Production Products, Inc",Machinery,U.S.,U.S.,"$78,750","Weapons of Mass Destruction Proliferators Sanctions Regulations, 31 C.F.R. part 544 (the “WMDPSR”)",WMDPSR,NO,NO,2,"December 15, 2009, to August 18, 2010",8/5/2015,China,China National Precision Machinery Import and Export Corp.,NO,NO,duct fabrication machines,500000,NO
Obama,2015,"Blue Robin, Inc.",ICT,U.S.,U.S.,"$82,260","Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560 (the “ITSR”).",ITSR,YES,NO,33,"January 14, 2009, to July 19, 2010",7/29/2015,Iran,NO,NO,NO, Web development services,205650,NO
Obama,2015,Great Plains Stainless Co. ,Steel,U.S.,U.S.,"$214,000"," Executive Order 13382 of June 28, 2005 ""Blocking Property of Weapons of Mass Destruction Proliferators and Their Supporters"" (E. 0. 13382) and the Weapons of Mass Destruction Proliferators Sanctions Regulations, 31 C.F.R. part 544 (WMDPSR)","EO13382, WMDPSR, ",NO,NO,1?,"April 9, 2009 to on or about July 4, 2009",7/24/2015,"China, UAE",NO,NO,NO,Goods,-,NO
Obama,2015,John Bean Technologies Corporation (JBT),Food ,U.S.,U.S.,"$391,950"," Executive Order 13382 of June 28, 2005, “Blocking Property of Weapons of Mass Destruction Proliferators and Their Supporters” (E.O. 13382) and the Weapons of Mass Destruction Proliferators Sanctions Regulations, 31 C.F.R. part 544","EO13382, WMDPSR, ",NO,NO,-,April 2009 to July 2009,6/19/2015,"Iran, Spain, China",YES,NO,NO,Goods and shipping,-,NO
Obama,2015,National Bank of Pakistan,Financial,U.S.,U.S.,"$28,800","§ 594.201 of the Global Terrorism Sanctions Regulations, 31 C.F.R. part 594 (the GTSR)",GTSR,NO,NO,7," June 6, 2013 to January 31, 2014",6/18/2015,"Pakistan, Kyrgyzstan",Kyrgyz Trans Avia,YES,NO,Financial transaction,55952,NO
Obama,2015,"First Data Resources, LLC",Financial,U.S.,U.S.,"$23,336",Foreign Narcotics Kingpin Sanctions Regulations (FNKSR),FNKSR,YES,NO,multiple,"February 23, 2011 and June 7, 2011",4/15/2015,-,YES,NO,NO,third party data processing services,69144,NO
Obama,2015,"PayPal, Inc.",Financial,U.S.,U.S.,"$7,658,300","Weapons of Mass Destruction Proliferators Sanctions Regulations, 31 C.F.R. part 544 (WMDPSR); the Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560 (ITSR); the Cuban Assets Control Regulations, 31 C.F.R. part 515 (CACR); the Global Terrorism Sanctions Regulations, 31 C.F.R. part 594 (GTSR); and the Sudanese Sanctions Regulations, 31 C.F.R. part 538 (SSR)","WMDPSR, ITSR, CACR, GTSR, SSR",NO,YES & NO,486,September 2009 to December 2013,3/25/2015,"Iran, Cuba, Sudan",Kursad Zafer Cire,NO,NO,Financial transaction,43934,NO
Obama,2015,Life For Relief and Development,Charity,U.S.,U.S.,"$780,000","Iraqi Sanctions Regulations, 31 C.F.R. part 575",Iraq,NO,YES,3,"September 9, 2002, to March 19, 2003",3/25/2015,"Iraq, Jordan",NO,NO,NO,Transfer of funds,236000,NO
Obama,2015,Commerzbank AG,Financial,Germany,Foreign,"$258,660,796","Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560 (ITSR); the Sudanese Sanctions Regulations, 31 C.F.R. part 538 (SSR); Executive Order 13382 of June 28, 2005, “Blocking Property of Weapons of Mass Destruction Proliferators and Their Supporters” (E.O. 13382) and the Weapons of Mass Destruction Proliferators Sanctions Regulations, 31 C.F.R. part 544 (WMDPSR); the Burmese Sanctions Regulations, 31 C.F.R. part 537 (BSR); and the Cuban Assets Control Regulations, 31 C.F.R. part 515 (CACR)","ITSR, EO13382, WMDPSR, CACR, Burma",NO,YES,"1,596",2002-2010,3/12/2015,"Iran, Suda, Cuba",YES,NO,NO,Financial transaction,147284096,NO
Obama,2014,ESCO Corporation,"Industrial, Mining",U.S.,U.S.,"$2,057,540","Cuban Assets Control Regulations, 31 C.F.R. part 515 (the CACR)",CACR,YES,NO,2?," November 7, 2007 and June 11, 2011",11/13/2014,Cuba,YES,YES,NO,nickel briquettes,6188149,NO
Obama,2014,"Indam International, Inc",Petrochemical,U.S.,U.S.,"$44,850","Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560",ITSR,NO,NO,9,"July 4, 2006, to October 23, 2008",10/31/2014,"Iran, UAE",NO,NO,NO,Goods for oil rigs,27846,NO
Obama,2014,"Bupa Insurance Company (BIC), Bupa Worldwide Corporation (BWW), and USA Medical Services Corporation",Medical Devices,U.S.,U.S.,"$128,704","Narcotics Trafficking Sanctions Regulations, 31 C.F.R. part 536 (the NTSR), the Foreign Narcotics Kingpin Sanctions Regulations, 31 C.F.R. part 598 (the FNKSR), or the Cuban Assets Control Regulations, 31 C.F.R. part 515 (the CACR)","NTSR, FKNSR, CACR",YES,NO,39," Mach 26, 2008, to March 1, 2011",10/29/2014,UK,"Daniel Gonzalez Munoz, Jorge Mario Paredes Cordova",YES,NO, insurance support services for healthcare policies,51275,NO
Obama,2014,"Zulutrade, Inc.",Financial,U.S.,U.S.,"$200,000","Iranian Transactions and Sanctions Regulations (ITSR), 31 C.F.R. part 560; the Sudanese Sanctions Regulations (SSR), 31 C.F.R. part 538; and Executive Order 13582 (E.O. 13582) of August 17, 2011, “Blocking Property of the Government of Syria and Prohibiting Certain Transactions With Respect to Syria.”",,NO,NO,400+,A number of years from 2009,9/9/2014,"Iran, Syria, Sudan",,NO,NO,"financial accouts, services and funds transfers ","eight funds transfers totaling  $10,264",NO
Obama,2014,Citigroup Inc. ,Financial,U.S.,U.S.,"$217,841","Iranian Transactions and Sanctions Regulations, 31 C.F.R. part 560 (ITSR),1 the Weapons of Mass Destruction Proliferators Sanctions Regulations, 31 C.F.R. part 544 (WMDPSR), the Foreign Narcotics Kingpin Sanctions Regulations, 31 C.F.R. part 598 (FNKSR), or the Global Terrorism Sanctions Regulations, 31 C.F.R. part 594 (GTSR)","ITSR, WMDPSR, FNKSR, GTSR",YES,NO,8,"April 2, 2009 to November 16, 2009, and  February 9, 2010, January 12, 2011, March 8, 2011, and October 29, 2012",9/3/2014,"Malaysia, Hong Kong, Iran", Higher Institute of Applied Science and Technology,YES,NO,Financial transactions,771860,NO
Obama,2014,Branch Banking & Trust Co.,Financial,U.S.,U.S.,"$19,125",§ 538.205 of the Sudanese Sanctions Regulations (the “SSR”),SSR,NO,NO,1,40695,8/27/2014,Sudan,YES,NO,NO,Financial transaction,20000,NO
Obama,2014,Branch Banking & Trust Co.,Financial,U.S.,U.S.,"$19,125",§ 538.205 of the Sudanese Sanctions Regulations (the “SSR”),SSR,NO,NO,1,40695,8/27/2014,Sudan,YES,NO,NO,Financial transaction,20000,NO
Obama,2014,Branch Banking & Trust Co.,Financial,U.S.,U.S.,"$19,125",§ 538.205 of the Sudanese Sanctions Regulations (the “SSR”),SSR,NO,NO,1,40695,8/27/2014,Sudan,YES,NO,NO,Financial transaction,20000,NO
Obama,2014,Branch Banking & Trust Co.,Financial,U.S.,U.S.,"$19,125",§ 538.205 of the Sudanese Sanctions Regulations (the “SSR”),SSR,NO,NO,1,40695,8/27/2014,Sudan,YES,NO,NO,Financial transaction,20000,NO
Obama,2014,Epsilon Electronics Inc.,ICT,U.S.,U.S.,"$4,073,000"," Iranian Transactions and Sanctions Regulations (the “ITSR”), 31 C.F.R. part 560",ITSR,NO,YES,39,"August 26, 2008, to May 22, 2012",7/25/2014,"Iran, UAE",NO,YES,NO,car audio and video equipment,3407491,NO
Obama,2014,"Procesadora Campofresco, Inc./ Campo Gardens Inc",Food,U.S.,U.S.,"$27,000","§201 of the Narcotics Trafficking Sanctions Regulations, 31 C.P.R. part 536",NTSR,NO,NO,6,"October 9, 2009 to July 21 , 2010",7/23/2014,"Colombia, Puerto Rico",Frutas Exoticas Colombiana S.A,NO,NO,frozen passion fruit juice/pulp,-,NO
Obama,2014,"Procesadora Campofresco, Inc./ Campo Gardens Inc",Food,U.S.,U.S.,"$27,000","§201 of the Narcotics Trafficking Sanctions Regulations, 31 C.P.R. part 536",NTSR,NO,NO,6,"October 9, 2009 to July 21 , 2010",7/23/2014,"Colombia, Puerto Rico",Frutas Exoticas Colombiana S.A,NO,NO,frozen passion fruit juice/pulp,-,NO
Obama,2014,"Procesadora Campofresco, Inc./ Campo Gardens Inc",Food,U.S.,U.S.,"$27,000","§201 of the Narcotics Trafficking Sanctions Regulations, 31 C.P.R. part 536",NTSR,NO,NO,6,"October 9, 2009 to July 21 , 2010",7/23/2014,"Colombia, Puerto Rico",Frutas Exoticas Colombiana S.A,NO,NO,frozen passion fruit juice/pulp,-,NO
Obama,2014,"Procesadora Campofresco, Inc./ Campo Gardens Inc",Food,U.S.,U.S.,"$27,000","§201 of the Narcotics Trafficking Sanctions Regulations, 31 C.P.R. part 536",NTSR,NO,NO,6,"October 9, 2009 to July 21 , 2010",7/23/2014,"Colombia, Puerto Rico",Frutas Exoticas Colombiana S.A,NO,NO,frozen passion fruit juice/pulp,-,NO
Obama,2014,"Bank of America, N.A",Financial,U.S.,U.S.,"$16,562,700","Foreign Narcotics Kingpin Sanctions Regulations (FNKSR), 31 C.F.R. part 598; the Narcotics Trafficking Sanctions Regulations (NTSR), 31 C.F.R. part 536; and the Reporting, Procedures and Penalties Regulations (RPPR), 31 C.F.R. part 501","FNKSR, RPPR, NTSR",NO,YES/NO,213,"September 10, 2005 to March 31, 2009",7/24/2014,-,YES,NO,NO,"Financial transactions, property transactions",91192,NO
Obama,2014,"Tofasco of America, Inc.",Financial,U.S.,U.S.,"$21,375",Weapons of Mass Destruction Proliferators Sanctions Regulations (the “WMDPSR”),WMDPSR,NO,NO,1,39919,7/17/2014,Iran,Islamic Republic of Iran Shipping Lines,NO,NO,blocked property transaction,-,NO
Obama,2014,BNP Paribas SA,Financial,France,Foreign,"$963,619,900"," Sudanese Sanctions Regulations (the “SSR”), 31 C.F.R. part 538; the Iranian Transactions and Sanctions Regulations (the “ITSR”),1 31 C.F.R. part 560; the Cuban Assets Control Regulations (the “CACR”), 31 C.F.R. part 515; and the Burmese Sanctions Regulations (the “BSR”), 31 C.F.R. part 537","Burma, SSR, ITSR, CACR",NO,YES,"3,897",A number of years up to 2012,6/30/2014,"Iran, Sudan, Cuba, Burma",NO,YES,NO,Financial transactions,10243163721,NO
