Admin,Year,Individual/Company,Industry,Nationality,US/0-US,Penalty,Sanctions Regime,Tag,Voluntary Disclosure?,Egregious Case?,# of violations,Violation Date(s),Announcement Date,Countries Involved,SDN Individual or Entity?,Subsidiary?,Successor Liability,Item(s) Exported/ Other Violations,Value of Items/ Transactions,Items Eligble for License?
Biden,2022,Sojitz (Hong Kong) Limited,Financial,China,Foreign,"$5,228,298",Iranian Transactions,ITSR,YES,NO,60,,1/3/2022,,,,,,,
Biden,2021,TD Bank,Financial,U.S.,U.S.,"$115,005",North Korea Sanctions Regulations,NKSR,YES,NO,"1,479"," December 20, 2016 and August 15, 2018",12/23/2021,,,,,,,
Biden,2021,An Individual,Construcion,U.S. ,U.S.,"$113,860",Iranian Transactions,ITSR,NO,NO,4,,12/8/2021,,,,,,,
Biden,2021,"Schlumberger Rod Lift, Inc.",Petrochemical,U.S.,U.S.,"$160,000","Sudanese 
Sanctions Regulations",SSR,NO,NO,1,December 2015-April 2016,9/27/2021,,,,,,,
Biden,2021,"Mashreqbank, PSC",Financial,UAE,Foreign,"$100,000,000","Sudanese 
Sanctions Regulations",SSR,NO,YES,"1,760","January 4, 2005 and February 6, 2009",11/9/2021,,,,,,,
Biden,2021,Cameron International Corp,Petrochemical,U.S. ,Foreign,"$1,423,766","E.O. 13662, Ukraine-Related Sanctions Regulations",UKRAINE-EO13662,NO,NO,5,"July 29, 2015 to November 28, 2016",9/27/2021,,,,,,,
Biden,2021,"NewTek, Inc.",ICT,U.S.,U.S.,"$189,483",Iranian Transactions and Sanctions Regulations,ITSR,YES,NO,52,December 2013 through May 2018,9/9/2021,Iran,,,,,,
Biden,2021,First Bank of Romania,Financial,Romania ,Foreign,"$862,318",Iranian Transactions and Sanctions Regulations," ITSR, SySR",YES,NO,98,"March 2, 2016 to June 2018",8/27/2021,"Iran, Syria, France, UAE",,NO,NO,Software and hardware ,,
Biden,2021,Bank of China (UK),Financial,UK,Foreign,"$2,329,991","Sudanese 
Sanctions Regulations",SSR,YES,NO,111,"September 4, 2014 and February 24, 2016",8/26/2021,Sudan,,YES,YES,,,
Biden,2021,"Payoneer, Inc.",Financial,U.S.,U.S.,"$1,400,301",Blocking Property of Certain Persons and Prohibiting Certain Transactions with Respect to the Crimea Region of Ukraine”; the Zimbabwe Sanctions Regulations; the Weapons of Mass Destruction Proliferators Sanctions Regulations; the Iranian Transactions and Sanctions Regulations; the now-repealed Sudanese Sanctions Regulations (SSR); and the Syrian Sanctions Regulations,"UKRAINE-EO13685, ITSR, SSR, ZIMBABWE, NPWMD",NO,NO,"2,260","n February 4, 2013 and February 20, 2018",7/23/2021,,YES,NO,NO,,,
Biden,2021,"Alfa Laval, Inc.",Petrochemical,U.S.,U.S.,"$16,875",Iranian Transactions and Sanctions Regulations,ITSR,NO,NO,1,May 2015 and March 2016,7/19/2021,"UAE, Iran",YES,YES,NO,,,
Biden,2021,Alfa Laval Middle East Ltd.,Petrochemical,UAE,Foreign,"$415,695",Iranian Transactions and Sanctions Regulations,ITSR,NO,YES,1,May 2015 and March 2016,7/19/2021,,YES,YES,NO,,,
Biden,2021,"MoneyGram Payment Systems, Inc.",Financial,U.S.,U.S.,"$34,329","Foreign Narcotics Kingpin Sanctions Regulations, 31 C.F.R §598.203; 
Narcotics Trafficking Sanctions Regulations, 31 C.F.R. §536.201;  Syrian Sanctions Regulations, 31
C.F.R. §542.207;  Democratic Republic of the Congo Sanctions Regulations, 31 C.F.R. §547.201; the
Central African Republic Sanctions Regulations, 31 C.F.R. §553.201; Weapons of Mass
Destruction Proliferators Sanctions Regulations, 31 C.F.R. §544.201","FNKSR, SySR, NTSR, DRCONGO, CAR, NPWMD",YES,NO,359,"March 12, 2013 and June 21, 2020,",4/29/2021,"Syria, Congo, Central African Republic, ","YES, 40 Invididuals",NO,NO,Remittances ,,YES
Biden,2021,SAP SE,ICT,Germany,Foreign,"$2,132,174",Iranian Transactions and Sanctions Regulations,ITSR,YES,NO,190,January 2013 to January 2018,4/29/2021,"Turkey, U.A.E, Germany, Malaysia, Iran",NO,NO,NO,Compliance software,3693898,NO
Biden,2021,Alliance Steel Inc.,Machinery,U.S.,U.S.,"$435,003",Iranian Transactions and Sanctions Regulations,ITSR,YES,NO,61,October 2013 to October 2018,4/19/2021,"US, Iran",NO,NO,NO,Engineering Services,1450008,NO
Biden,2021,"Nordgas, S.r.l.",Machinery,Italy,Foreign,"$950,000",Iranian Transactions and Sanctions Regulations,ITSR,NO,YES,27,March 2013 to March 2017,3/26/2021,"Iran, Italy, US",NO,YES,YES,Air pressure switches,2526783,NO
Biden,2021,"UniControl, Inc.",Machinery,U.S.,U.S.,"$216,464",Iranian Transactions and Sanctions Regulations,ITSR,YES,YES,21,July 2013 to March 2017,3/15/2021,"US, two European countries, Iran",NO,NO,NO,Air pressure switches,687189,NO
